N,K,p,lambda_sum,max_evals_per_run,num_parallel_runs,repetition,total_wall_time_s,best_energy,best_ar,most_probable_bitstring,selected_assets_count,constraint_satisfied
4,1,4,100,3,2,0,1.5472899579981458,-1000.1907463390427,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,4,100,3,3,0,1.6342379580019042,-1000.2002006575295,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,4,100,3,4,0,1.7497504589991877,-1000.241839727138,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,1,1,0,1.485568667005282,-1000.1658343730355,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,8,100,1,2,0,1.7253916670015315,-1000.2387475269753,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,1,3,0,1.6922311250018538,-1000.3144454844764,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,1,4,0,1.742171749996487,-1000.2302914997102,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,2,1,0,1.6011060000018915,-1000.2392777274401,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,2,2,0,1.6738998330038157,-1000.3151203348981,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,8,100,2,3,0,1.7321576250033104,-1000.2337141522042,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,2,4,0,1.9221688750039903,-1000.2120277193437,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,8,100,3,1,0,1.4204961249997723,-1000.3145701900626,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,3,2,0,1.5342742080028984,-1000.2311491526261,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,8,100,3,3,0,1.7786018749975483,-1000.2114681988987,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,8,100,3,4,0,1.9782363749982323,-1000.2258648923632,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,12,100,1,1,0,1.4499179999984335,-1000.288100828045,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,1,2,0,1.531737792000058,-1000.2218184025813,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,1,3,0,1.6684132910013432,-1000.2002204797142,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,1,4,0,1.8929948340010014,-1000.2661332221827,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,2,1,0,1.3826637919992208,-1000.2167690728613,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,2,2,0,1.5676824170004693,-1000.2042406605955,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,2,3,0,1.6667362500011222,-1000.2612518663738,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,2,4,0,1.924752292004996,-1000.2282225956868,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,3,1,0,1.4645322500000475,-1000.2024175154829,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,3,2,0,1.6255362500014598,-1000.2610888178933,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,3,3,0,1.6905561659950763,-1000.2269281696305,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,12,100,3,4,0,1.7361684159986908,-1000.2139832404222,N/A (Brute-force not feasible or not computed),0010,1,True
8,3,1,100,1,1,0,1.3668096250039525,-1400.0913694935277,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,1,2,0,1.5521437499992317,-1400.0727861743114,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,1,3,0,1.659416374997818,-1400.0728263826622,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,1,4,0,1.758093167001789,-1400.083881281341,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,2,1,0,1.4989959169979556,-1400.073472212526,N/A (Brute-force not feasible or not computed),01001010,3,True
8,3,1,100,2,2,0,1.5662705409995397,-1400.074317606872,N/A (Brute-force not feasible or not computed),01001010,3,True
8,3,1,100,2,3,0,1.6241720000034547,-1400.0845952225427,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,2,4,0,1.86186699999962,-1400.0908049667091,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,3,1,0,1.3801000830062549,-1400.0729272579697,N/A (Brute-force not feasible or not computed),01001010,3,True
8,3,1,100,3,2,0,1.6017978749950998,-1400.0848238881047,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,1,100,3,3,0,1.6842411249963334,-1400.0901243235073,N/A (Brute-force not feasible or not computed),01001010,3,True
8,3,1,100,3,4,0,1.8549932500027353,-1400.1087319172377,N/A (Brute-force not feasible or not computed),00101010,3,True
8,3,4,100,1,1,0,1.4223364580029738,-1400.0859959015477,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,1,2,0,1.5749592499996652,-1400.0928452743337,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,1,3,0,1.6868625830029487,-1400.1071069155958,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,1,4,0,1.8637040419998812,-1400.087676006597,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,2,1,0,1.4048094590034452,-1400.093037720402,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,2,2,0,1.5292765829944983,-1400.1077248065194,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,2,3,0,1.6379958339966834,-1400.0883537466052,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,2,4,0,1.9032596249962808,-1400.0868375847053,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,3,1,0,1.4818732499988982,-1400.1066747172947,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,3,2,0,1.5623098329961067,-1400.0881706081423,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,3,3,0,1.7444653749989811,-1400.0886027336821,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,4,100,3,4,0,1.7940864999982296,-1400.0632438630407,N/A (Brute-force not feasible or not computed),10001010,3,True
8,3,8,100,1,1,0,1.5158619999929215,-1400.0788961810806,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,1,2,0,1.549165249998623,-1400.0743268928309,N/A (Brute-force not feasible or not computed),10010010,3,True
8,3,8,100,1,3,0,1.6395707079936983,-1400.0687282352014,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,1,4,0,1.736584040998423,-1400.091300644978,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,2,1,0,1.3712884999986272,-1400.0734899017768,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,2,2,0,1.5292139579978539,-1400.0666308878376,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,2,3,0,1.6510222500000964,-1400.091282067014,N/A (Brute-force not feasible or not computed),01010010,3,True
8,3,8,100,2,4,0,1.7380370000028051,-1400.077159256326,N/A (Brute-force not feasible or not computed),01010001,3,True
