N,K,p,num_parallel_runs,max_iterations_optimizer,num_shots_simulator,q,lambda_sum,transpilation_level,overall_runtime_seconds,best_overall_energy,approximation_ratio,E_min_classical,E_max_classical,num_successful_individual_runs,total_individual_runs_attempted,all_individual_energies
5,2,1,8,50,256,0.5,0,0,3.8597077499871375,-0.1656634609785688,,,,8,8,"[-0.1656634609785688, -0.1549870171286146, -0.1590452908901509, -0.1638791970574302, -0.15828577735163435, -0.1434805888050972, -0.16275614692656099, -0.16408196867220476]"
5,2,1,8,50,256,0.5,0,1,3.995684749999782,-0.1740573230212312,,,,8,8,"[-0.1702726055270261, -0.16666832665964312, -0.1622381952426165, -0.1740573230212312, -0.16955310588643832, -0.16515105106890143, -0.16863354702544903, -0.15831303865168125]"
5,2,1,8,50,256,0.5,0,2,3.748032666000654,-0.1668601073733086,,,,8,8,"[-0.16280948569221632, -0.15516354662834503, -0.15276761363059077, -0.15911831415390498, -0.1595154491844768, -0.1668601073733086, -0.1607925441036368, -0.16550100560409167]"
5,2,1,8,50,256,0.5,0,3,4.294213084009243,-0.16760957551354294,,,,8,8,"[-0.16760957551354294, -0.1615864713186587, -0.15323524407704878, -0.15805697066892438, -0.1638000907770849, -0.15493148777926868, -0.16744656117413204, -0.15584350235801264]"
8,3,1,8,50,256,0.5,0,0,3.9347902499866905,-0.16321559234897307,,,,8,8,"[-0.16321559234897307, -0.14657719308788336, -0.1573062643432253, -0.16266168268071615, -0.1558854646213315, -0.15647292379552774, -0.15474937206426065, -0.1494186173236156]"
8,3,1,8,50,256,0.5,0,1,3.934868958996958,-0.16821143396491584,,,,8,8,"[-0.15895313710896924, -0.15229588884859485, -0.15522396086828602, -0.15811587869681773, -0.16821143396491584, -0.1498458260744624, -0.15973452035142618, -0.1594942381576003]"
8,3,1,8,50,256,0.5,0,2,4.033598291003727,-0.16503512072622495,,,,8,8,"[-0.1590741330596285, -0.16503512072622495, -0.15585588806752834, -0.159683159531313, -0.1516618701469913, -0.14887965107773687, -0.15561786847476242, -0.14933719534287412]"
8,3,1,8,50,256,0.5,0,3,4.015768290992128,-0.16933566899445474,,,,8,8,"[-0.16360539277340266, -0.16529922375073158, -0.15209709900176696, -0.15269676544151334, -0.15464808624219567, -0.15043788023575558, -0.16933566899445474, -0.15398121862372888]"
10,4,1,8,50,256,0.5,0,0,3.8417008749966044,-0.1551925596008556,,,,8,8,"[-0.15058552457895116, -0.15413756917708948, -0.15180929942733096, -0.1536778048434495, -0.1551925596008556, -0.15147222216400247, -0.15149345865647013, -0.15392156130626275]"
10,4,1,8,50,256,0.5,0,1,3.956188125011977,-0.15752964881484696,,,,8,8,"[-0.15405528900141852, -0.15451950895867383, -0.1543247525544755, -0.15752964881484696, -0.15569895682395896, -0.14928136094643668, -0.1566588690675926, -0.15397312849039196]"
10,4,1,8,50,256,0.5,0,2,3.9991641670058016,-0.1594101147390859,,,,8,8,"[-0.15483426511259535, -0.1594101147390859, -0.1443951261235448, -0.151713713985013, -0.15418485392602618, -0.1500343895355478, -0.1552571172871784, -0.15868238032022416]"
10,4,1,8,50,256,0.5,0,3,4.183649291997426,-0.15972882280904882,,,,8,8,"[-0.15618273214712514, -0.1520047373232835, -0.14672365287883452, -0.15658240004259075, -0.15223120998885883, -0.15972882280904882, -0.1569506110148507, -0.150068193488278]"
15,6,1,8,50,256,0.5,0,0,6.627730084001087,-0.15214900229000494,,,,8,8,"[-0.1478521292284727, -0.14652121913761357, -0.14678540801682566, -0.1461910407687662, -0.15214900229000494, -0.14835097619628318, -0.14836681912199495, -0.15036180586352893]"
15,6,1,8,50,256,0.5,0,1,6.720740542004933,-0.15374261940958034,,,,8,8,"[-0.14879866113562557, -0.15111550210026142, -0.14702329261671093, -0.1427019738483656, -0.15123256036868435, -0.15374261940958034, -0.15119115560296084, -0.1451980441124501]"
15,6,1,8,50,256,0.5,0,2,6.404552291991422,-0.1522084181923323,,,,8,8,"[-0.14568688680970787, -0.14646292905353078, -0.14687108689992406, -0.15184157637813586, -0.1522084181923323, -0.14488267034605512, -0.1510737515798735, -0.1455222466953018]"
15,6,1,8,50,256,0.5,0,3,6.615603915997781,-0.15148977426989632,,,,8,8,"[-0.14552162026346432, -0.14930172370642314, -0.14777494938831326, -0.14659669561732247, -0.1496659211257658, -0.15014036056025323, -0.15148977426989632, -0.1475980677345939]"
20,8,1,8,50,256,0.5,0,0,62.26338979200227,-0.14441319037590383,,,,8,8,"[-0.1415415218980565, -0.14042582884442753, -0.14300503256302816, -0.14340968588406888, -0.14441319037590383, -0.14298392510001515, -0.14390991112830032, -0.139859710286252]"
20,8,1,8,50,256,0.5,0,1,63.75564991698775,-0.14376233091568616,,,,8,8,"[-0.14071720631868861, -0.1399543426774225, -0.14376233091568616, -0.14328496820656517, -0.1423023325698538, -0.14039604052870794, -0.14227499375191577, -0.13993924662276114]"
20,8,1,8,50,256,0.5,0,2,58.86706583300838,-0.1440689842171913,,,,8,8,"[-0.14184721706824552, -0.1434061662361321, -0.14160570552392512, -0.1363487537906222, -0.14347187347794477, -0.14148176489778225, -0.1440689842171913, -0.14129923128968913]"
20,8,1,8,50,256,0.5,0,3,51.86089949999587,-0.1453339802846082,,,,8,8,"[-0.14072459852262958, -0.1444927958589382, -0.1423090699978137, -0.13998634752361122, -0.14482941897103926, -0.1390232882822128, -0.1453339802846082, -0.14271664883961407]"
22,8,1,8,50,256,0.5,0,0,237.8826878330001,-0.15664399120151182,,,,8,8,"[-0.15293179512872848, -0.1491665616059807, -0.15367130419643324, -0.1489699459263961, -0.15265167662100707, -0.15664399120151182, -0.15632797545699662, -0.1542310857019596]"
22,8,1,8,50,256,0.5,0,1,238.14361258299323,-0.15492724828182663,,,,8,8,"[-0.15302793360814537, -0.154004730767218, -0.15492724828182663, -0.1544894600861243, -0.1521877108168207, -0.15217055762514034, -0.15201850000414227, -0.15361901072653691]"
22,8,1,8,50,256,0.5,0,2,216.92265837499872,-0.15717123759683446,,,,8,8,"[-0.15376176519950469, -0.15667922358788017, -0.1525306756549403, -0.1540961354102843, -0.1512122965424724, -0.15717123759683446, -0.1517909720369803, -0.1543416881635167]"
22,8,1,8,50,256,0.5,0,3,220.13575099999434,-0.15686742356173683,,,,8,8,"[-0.15490279646364724, -0.15537476872202793, -0.15442418089579288, -0.15401689303928276, -0.15355153835717653, -0.15151483359851087, -0.15686742356173683, -0.15455174277323322]"
