n,CPLEX_TTS_process_time,CPLEX_TTS_clock_time,runid
3,0.0156659600000002,0.010170459747314453,66
3,0.016104558999999963,0.010239124298095703,67
3,0.015825721000000126,0.01012110710144043,68
3,0.01591532899999981,0.010270118713378906,69
3,0.016201447999999896,0.010431766510009766,70
3,0.016074538999999888,0.010324954986572266,71
3,0.01620228300000015,0.010454177856445312,72
3,0.01581376499999987,0.010149002075195312,73
3,0.015945376999999983,0.010262489318847656,74
3,0.015801441999999888,0.010141611099243164,75
3,0.015611237000000777,0.010003089904785156,76
3,0.01594431300000032,0.010268449783325195,77
3,0.015853410000000068,0.010117053985595703,78
3,0.016121824999999923,0.010295629501342773,79
3,0.015834399000000055,0.010186195373535156,80
3,0.015902592999999854,0.010209798812866211,81
3,0.016245826999999657,0.010425329208374023,82
3,0.01581559400000021,0.010125398635864258,83
3,0.015825914999999746,0.010228157043457031,84
3,0.016087795999999877,0.010321855545043945,85
3,0.01596119199999979,0.010247230529785156,86
3,0.015906510999999846,0.010217666625976562,87
3,0.015925835,0.010258913040161133,88
3,0.015797882000000207,0.010129928588867188,89
3,0.016083722999999495,0.010303258895874023,90
3,0.01599874099999976,0.010254144668579102,91
3,0.015900333000000266,0.010220527648925781,92
3,0.01613687099999961,0.010393619537353516,93
3,0.016160670999999738,0.01039743423461914,94
3,0.016096908999999826,0.010304689407348633,95
3,0.01569784399999996,0.010030269622802734,96
3,0.015909102000000175,0.010262250900268555,97
3,0.015944043000000185,0.010220527648925781,98
3,0.015577571000000567,0.010078907012939453,99
4,0.07166499900000023,0.018146753311157227,0
4,0.13812341200000056,0.021793365478515625,1
4,0.06943687600000015,0.017047405242919922,2
4,0.031640751999999495,0.014507055282592773,3
4,0.030630722999999804,0.014705896377563477,4
4,0.04285958000000001,0.015157222747802734,5
4,0.04178540399999964,0.015064716339111328,6
4,0.030571880000000107,0.014643192291259766,7
4,0.03429055700000028,0.014796018600463867,8
4,0.03115726299999988,0.015011787414550781,9
4,0.10372173600000067,0.019219636917114258,10
4,0.030076576999999993,0.014486551284790039,11
4,0.030025369999999718,0.014407634735107422,12
4,0.03003731200000015,0.014498472213745117,13
4,0.05975073500000061,0.01643681526184082,14
4,0.029371343000000216,0.014215946197509766,15
4,0.08798083000000023,0.01809072494506836,16
4,0.1344781270000004,0.02112603187561035,17
4,0.08141728399999959,0.017652511596679688,18
4,0.06772801400000006,0.01690053939819336,19
4,0.029782376,0.01444244384765625,20
4,0.04602240400000035,0.015659809112548828,21
4,0.029885838999999415,0.014496564865112305,22
4,0.11759026100000014,0.020273208618164062,23
4,0.04192320300000052,0.015500068664550781,24
4,0.12347460699999946,0.020771265029907227,25
4,0.059420610000000096,0.016678333282470703,26
4,0.11177592999999941,0.020446300506591797,27
4,0.0328346349999995,0.014932632446289062,28
4,0.030524330999999627,0.014798402786254883,29
4,0.030105934999999917,0.014216899871826172,30
